id,title,authors,date,tags,URL,author,tickers,article_content,url
4,Australia regulator asks ANZ to justify benefits of $3.3 bln Suncorp deal,,"April 03, 2023 — 09:28 pm EDT",['Markets'],,Scott Murdoch,[],"April 03, 2023 — 09:28 pm EDT

      Written by
                        Scott Murdoch for                             
        




Reuters ->


By Scott Murdoch
SYDNEY, April 4 (Reuters) - Australia's competition regulator said it had asked ANZ Group ANZ.AX to further justify the public benefits of its proposed A$4.9 billion ($3.32 billion) takeover of rival Suncorp's SUN.AX banking business ahead of a formal decision on the deal's future.
The Australian Competition and Consumer Commission (ACCC) on Tuesday asked both parties to submit more information before a final ruling is delivered by June 12.
ANZ, Australia's fourth-largest bank by market capitalisation, last July announced plans to buy the banking arm of the Queensland-based regional bank and insurance group Suncorp to help grow its mortgage book.
The deal requires ACCC approval and sign-off from the Queensland government and Australia's federal treasurer.
In a report published Tuesday, the ACCC said its preliminary view was the information it had was insufficient to substantiate the ""nature, likelihood and extent of the claimed public benefits, including ANZ's estimates of future synergies that will be achieved"".
ANZ said when the deal was announced buying Suncorp's banking arm would boost its mortgage book by A$47 billion to A$307 billion and help it reclaim market share lost to its main competitors.
""Any acquisition of a potential rival by one of the major banks must be closely considered,"" ACCC deputy chair Mick Keogh said in a statement separate to the report.
Australia's banking industry is dominated by four large banks, including ANZ.
Suncorp said in a statement that it would provide a comprehensive response to address the ACCC's concerns and the deal remained in the best interests of the company. Suncorp will become a pure insurance firm if the deal is completed.
ANZ did not immediately respond to a Reuters request for comment.
($1 = 1.4738 Australian dollars)
(Reporting by Scott Murdoch; Editing by Jamie Freed)
((Scott.Murdoch@thomsonreuters.com;))
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/australia-regulator-asks-anz-to-justify-benefits-of-%243.3-bln-suncorp-deal
1,Japanese Market Is Modestly Higher,,"April 03, 2023 — 10:03 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 10:03 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The Japanese stock market is modestly higher in choppy trading on Tuesday, extending the gains in the previous two sessions, with the Nikkei 225 moving above the 28,200 level, following the mixed cues from Wall Street overnight, with financial stocks gaining amid easing worries about global banking sector woes.
The benchmark Nikkei 225 Index is up 73.09 points or 0.26 percent at 28,261.24, after touching a high of 28,277.74 earlier. Japanese shares ended notably higher on Monday.
Market heavyweight SoftBank Group is edging up 0.2 percent, while Uniqlo operator Fast Retailing is flat. Among automakers, Honda is adding almost 1 percent, while Toyota is edging down 0.1 percent.
In the tech space, Advantest and Screen Holdings are edging down 0.1 to 0.4 percent each, while Tokyo Electron is gaining almost 1 percent.
In the banking sector, Mitsubishi UFJ Financial is edging down 0.1 percent, while Mizuho Financial is gaining more than 1 percent and Sumitomo Mitsui Financial is adding almost 1 percent.
The major exporters are mixed. Canon and Mitsubishi Electric are flat, while Panasonic is edging down 0.4 percent. Sony is edging up 0.1 percent.
 
Among the other major gainers, Nintendo is gaining almost 3 percent.
Conversely, there are no other major losers.
In economic news, the monetary base in Japan was down 1.0 percent on year in March, the Bank of Japan said on Tuesday - coming in at 655.780 trillion yen. That follows the upwardly revised 1.6 percent contraction in February (originally -1.7 percent). The adjusted base was up 13.5 percent, slowing from 31.1 percent a month earlier. For the first quarter of 2023, the monetary base slipped 2.1 percent on year.
In the currency market, the U.S. dollar is trading in the higher 132 yen-range on Tuesday.
On the Wall Street, stocks ended higher on Monday with those from the energy sector rallying sharply after a surprise production cut announcement by the OPEC+ lifted crude oil prices.
Among the major averages, the Dow ended notably higher after staying firm right through the day's session. The S&P finished modestly higher after a choppy ride, while the Nasdaq trimmed its losses and settled well off the day's lows.
The Dow settled with a gain of 327.00 points or 0.98 percent at 33,601.15. The S&P 500 ended up 15.20 points or 0.37 percent at 4,124.51, while the Nasdaq ended lower by 32.45 points or 0.27 percent at 12,189.45.
Meanwhile, the major European markets also turned in a mixed performance on the day. While the German DAX Index drifted down 0.31 percent, the U.K.'s FTSE 100 climbed 0.54 percent, and France's CAC 40 gained 0.32 percent.
Crude oil prices rose sharply on Monday, buoyed by the decision of OPEC+ oil producers to cut output by around 1.16 million barrels per day. West Texas Intermediate Crude oil futures for May ended higher by $4.75 or 6.3 percent at $80.42 a barrel. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/japanese-market-is-modestly-higher-0
9,Hong Kong Stock Market Due For Consolidation,,"April 03, 2023 — 09:00 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 09:00 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The Hong Kong stock market has climbed higher in five straight sessions, spiking more than 840 points or 4.4 percent along the way. The Hang Seng Index now sits just beneath the 20,410-point plateau although investors may lock in gains on Tuesday.
The global forecast for the Asian markets is a study in contrasts, with gains among oil stocks likely offset by weakness among the technology shares. The European and U.S. markets were mixed and the Asian bourses figure to follow suit.
The Hang Seng finished barely higher on Monday following gains from the energy stocks and mixed performances from the property and technology companies.
For the day, the index perked 9.07 points or 0.04 percent to finish at 20,409.18 after trading between 20,226.95 and 20,475.43.
Among the actives, Alibaba Group retreated 1.84 percent, while Alibaba Health Info jumped 1.94 percent, ANTA Sports stumbled 1.75 percent, China Life Insurance collected 0.31 percent, China Mengniu Dairy rose 0.47 percent, China Resources Land rallied 2.09 percent, CITIC sank 0.54 percent, CNOOC soared 2.40 percent, Country Garden advanced 0.74 percent, CSPC Pharmaceutical lost 0.52 percent, Galaxy Entertainment surged 5.91 percent, Hang Lung Properties and Hengan International Group both eased 0.14 percent, Henderson Land fell 0.37 percent, Hong Kong & China Gas dropped 0.87 percent, Industrial and Commercial Bank of China slumped 1.67 percent, JD.com skidded 1.34 percent, Lenovo slid 0.24 percent, Li Ning declined 1.94 percent, Meituan tanked 2.44 percent, New World Development gained 0.48 percent, Techtronic Industries spiked 2.24 percent, Xiaomi Corporation added 0.50 percent, WuXi Biologics tumbled 2.67 percent and CK Infrastructure and CLP Holdings were unchanged.
The lead from Wall Street is incongruous as the Dow and S&P opened higher and finished the same way, while the NASDAQ opened in the red and remained there throughout the session.
The Dow surged 327.00 points or 0.98 percent to finish at 33,601.15, while the NASDAQ dropped 32.45 points or 0.27 percent to end at 12,189.45 and the S&P 500 added 15.20 points or 0.37 percent to close at 4,124.51.
The strength on Wall Street rose the back of the energy sector as crude oil prices surged, while technology stocks ebbed on fears over the outlook for interest rates.
Oil prices rose sharply on Monday, buoyed by the decision of OPEC+ oil producers to cut output by around 1.16 million barrels per day. West Texas Intermediate Crude oil futures for May ended higher by $4.75 or 6.3 percent at $80.42 a barrel.
In economic news, the Institute for Supply Management said manufacturing activity in the U.S. contracted at a slightly faster rate in March. Also, the Commerce Department unexpectedly showed a slight decrease in U.S. construction spending in February. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/hong-kong-stock-market-due-for-consolidation
7,Mild Upside Seen For Indonesia Stock Market,,"April 03, 2023 — 09:15 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 09:15 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The Indonesia stock market on Monday ended the two-day slide in which it had slumped almost 35 points or 0.5 percent. The Jakarta Composite Index now sits just above the 6,825-point plateau and it may tick higher again on Tuesday.
The global forecast for the Asian markets is a study in contrasts, with gains among oil stocks likely offset by weakness among the technology shares. The European and U.S. markets were mixed and the Asian bourses figure to follow suit.
The JCI finished modestly higher on Monday following mixed performances from the financials, cement companies and resource stocks.
For the day, the index added 21.90 points or 0.32 percent to finish at 6,827.17.
Among the actives, Bank CIMB Niaga rallied 2.36 percent, while Bank Central Asia collected 0.57 percent, Bank Mandiri absolutely cratered 49.03 percent, Bank Rakyat Indonesia strengthened 1.48 percent, Indosat Ooredoo Hutchison tumbled 1.80 percent, Indocement fell 0.24 percent, Semen Indonesia improved 0.79 percent, Indofood Suskes shed 0.40 percent, United Tractors dropped 0.86 percent, Energi Mega Persada soared 2.68 percent, Astra Agro Lestari spiked 2.47 percent, Vale Indonesia jumped 1.88 percent, Timah lost 0.49 percent, Bumi Resources surged 3.15 percent and Astra International, Aneka Tambang, Bank Danamon Indonesia and Bank Negara Indonesia were unchanged.
The lead from Wall Street is incongruous as the Dow and S&P opened higher and finished the same way, while the NASDAQ opened in the red and remained there throughout the session.
The Dow surged 327.00 points or 0.98 percent to finish at 33,601.15, while the NASDAQ dropped 32.45 points or 0.27 percent to end at 12,189.45 and the S&P 500 added 15.20 points or 0.37 percent to close at 4,124.51.
The strength on Wall Street rose the back of the energy sector as crude oil prices surged, while technology stocks ebbed on fears over the outlook for interest rates.
Oil prices rose sharply on Monday, buoyed by the decision of OPEC+ oil producers to cut output by around 1.16 million barrels per day. West Texas Intermediate Crude oil futures for May ended higher by $4.75 or 6.3 percent at $80.42 a barrel.
In economic news, the Institute for Supply Management said manufacturing activity in the U.S. contracted at a slightly faster rate in March. Also, the Commerce Department unexpectedly showed a slight decrease in U.S. construction spending in February. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/mild-upside-seen-for-indonesia-stock-market-0
8,Loblaw Recalls PC Sesame Wonton Chopped Salad Kit Due To Undeclared Allergens,,"April 03, 2023 — 09:13 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 09:13 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - Loblaw Companies Ltd. has recalled the PC Sesame Wonton Chopped Salad Kit, 347 g citing undeclared allergens.
The product contains milk, egg and mustard, which are not declared on the product label.
 
The product marked with UPC: 060383023157, best before date BB: 2023 AL 09 and lot code B083011.
The recalled product was sold in western Canada from March 28 to March 30, 2023, at Extra Foods, Independent, NOFRILLS, Real Canadian Superstore, Real Canadian Wholesale Club, Shoppers Drug Mart.
There have been no reported cases of illness relating to the product.
Consumers who have purchased ""PC Sesame Wonton Chopped Salad Kit, 347 g"" are urged to return them to the place of purchase for a full refund. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/loblaw-recalls-pc-sesame-wonton-chopped-salad-kit-due-to-undeclared-allergens
6,Why Apple Stock Was Up 11% in March,,"April 03, 2023 — 09:16 pm EDT",['Markets'],,Jeremy Bowman,[],"April 03, 2023 — 09:16 pm EDT

      Written by
                        Jeremy Bowman for                             
        




The Motley Fool ->


Shares of Apple (NASDAQ: AAPL) were moving higher last month as the tech giant trended with gains in the broader tech sector as tech stocks bounced back from the collapse of Silicon Valley Bank and fears of a recession seemed to cool off later in the month.
There was no single driver of the stock's gains in March, though it benefited from high-profile analyst upgrades, previews of its upcoming mixed-reality headset, and signs that it's continuing to focus on cost-cutting.
According to data from S&P Global Market Intelligence, the stock finished March up 11%. As you can see from the chart below, the stock's gains tracked with the Nasdaq, but it rose more aggressively.

^IXIC data by YCharts.
Early in March, the company got a number of bullish analyst notes. JPMorgan said that iPhone demand is high compared to Apple's competitors, while Jefferies also found that demand was strong. 
Meanwhile, Morgan Stanley boosted its price target from $175 to $180, reiterating an overweight rating and citing ""pent-up"" iPhone demand and a reacceleration in its services business. 
Shortly after that, Goldman Sachs initiated coverage with a buy rating and a price target of $199, noting the company's growing installed base of users. 
In the week of March 13, the stock started gaining again as tech stocks rebounded after Silicon Valley Bank collapsed, and reports confirmed that the company was planning to launch a mixed reality headset in 2023 as CEO Tim Cook pushed the company to release its device this year, according to Financial Times.
Bloomberg also reported that Apple was delaying some bonuses and expanding its hiring freeze, a sign it's expanding its cost-cutting efforts as it faces macroeconomic headwinds.
Among the big tech companies, Apple is the only one that has not announced major layoffs, but it's still a cyclical business. It can't escape the overarching in tech as recessionary threats have cooled off demand, and difficult comparisons have made growth numbers weak.
Towards the end of the month, the company also introduced its own buy-now-pay-later product, ""Apple Pay Later,"" extending the reach of its payments business.
To start April, Bloomberg reported that the company is cutting a small number of corporate retail positions, another reflection of cost-cutting, and UBS said that iPhone sell-through was down 3% in February year over year, an improvement from previous months, but still a decline.
Apple shares are expensive, but its gains last month show investors are willing to pay up for quality. Even in tough times, the company appears to be strengthening its competitive advantages and putting distance between itself and challengers like Samsung and Alphabet, which should help support its elevated valuation.
10 stocks we like better than AppleWhen our analyst team has a stock tip, it can pay to listen. After all, the newsletter they have run for over a decade, Motley Fool Stock Advisor, has tripled the market.*
They just revealed what they believe are the ten best stocks for investors to buy right now... and Apple wasn't one of them! That's right -- they think these 10 stocks are even better buys.
See the 10 stocks
 
*Stock Advisor returns as of March 8, 2023
 
Suzanne Frey, an executive at Alphabet, is a member of The Motley Fool's board of directors. JPMorgan Chase is an advertising partner of The Ascent, a Motley Fool company. Jeremy Bowman has no position in any of the stocks mentioned. The Motley Fool has positions in and recommends Alphabet, Apple, Goldman Sachs Group, JPMorgan Chase, and Jefferies Financial Group. The Motley Fool has a disclosure policy.
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/why-apple-stock-was-up-11-in-march
5,Australian Market Slightly Higher,,"April 03, 2023 — 09:18 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 09:18 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The Australian stock market slightly higher on Tuesday, extending the gains in the previous six sessions, with the benchmark S&P/ASX 200 staying above the 7,200 level, following the mixed cues from Wall Street overnight, boosted by gains in gold mining stocks amid the continuing strength in gold prices. Energy and financial stocks are also higher.
Traders are also treading cautiously ahead of the Reserve Bank of Australia's rate decision later in the day. The RBA is expected to lift interest rates for the eleventh straight month.
The benchmark S&P/ASX 200 Index is gaining 7.30 points or 0.10 percent to 7,230.30, after touching a high of 7,233.20 earlier. The broader All Ordinaries Index is up 9.40 points or 0.13 percent to 7,425.80. Australian stocks closed notably higher on Monday.
Among the major miners, BHP Group and Mineral Resources are losing almost 1 percent each, while Rio Tinto is edging up 0.1 percent. and Fortescue Metals is also edging up 0.5 percent. OZ Minerals is flat.
Oil stocks are mostly higher. Beach energy and Santos are gaining more than 1 percent each, while Woodside Energy is edging up 0.3 percent. Origin Energy is edging down 0.2 percent.
 
Among tech stocks, Afterpay owner Block is losing more than 2 percent and Appen is edging down 0.4 percent, while WiseTech Global and Xero are edging up 0.2 to 0.4 percent each. Zip is flat. 
Gold miners are mostly higher. Northern Star Resources and Resolute Mining are gaining more than 2 percent each, while Newcrest Mining is adding 1.5 percent, Evolution Mining is advancing 3.5 percent and Gold Road Resources is up more than 3 percent.
Among the big four banks, Commonwealth Bank, Westpac and National Australia Bank are edging up 0.1 to 0.3 percent each, while ANZ Banking is gaining almost 1 percent.
In economic news, the Reserve Bank of Australia will wrap up its monetary policy meeting on Tuesday and then announce its decision on interest rates. The RBA is widely expected to hike its benchmark lending rate by 25 basis points, from 3.60 percent to 3.85 percent.
In the currency market, the Aussie dollar is trading at $0.679 on Tuesday.
On the Wall Street, stocks ended higher on Monday with those from the energy sector rallying sharply after a surprise production cut announcement by the OPEC+ lifted crude oil prices.
Among the major averages, the Dow ended notably higher after staying firm right through the day's session. The S&P finished modestly higher after a choppy ride, while the Nasdaq trimmed its losses and settled well off the day's lows.
The Dow settled with a gain of 327.00 points or 0.98 percent at 33,601.15. The S&P 500 ended up 15.20 points or 0.37 percent at 4,124.51, while the Nasdaq ended lower by 32.45 points or 0.27 percent at 12,189.45.
Meanwhile, the major European markets also turned in a mixed performance on the day. While the German DAX Index drifted down 0.31 percent, the U.K.'s FTSE 100 climbed 0.54 percent, and France's CAC 40 gained 0.32 percent.
Crude oil prices rose sharply on Monday, buoyed by the decision of OPEC+ oil producers to cut output by around 1.16 million barrels per day. West Texas Intermediate Crude oil futures for May ended higher by $4.75 or 6.3 percent at $80.42 a barrel. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/australian-market-slightly-higher-27
3,Energy Stocks Likely To Fuel Thai Stock Gains,,"April 03, 2023 — 09:30 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 09:30 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The Thai stock market has moved lower in two of three trading days since the end of the three-day winning streak in which it had advanced almost 20 points or 1.2 percent. The Stock Exchange of Thailand now rests just above the 1,600-point plateau and it's predicted to bounce higher again on Tuesday.
The global forecast for the Asian markets is a study in contrasts, with gains among oil stocks likely offset by weakness among the technology shares. The European and U.S. markets were mixed and the Asian bourses figure to follow suit.
The SET finished modestly lower on Monday as losses from the technology stocks were mitigated by support from the financials and energy companies. 
For the day, the index slipped 8.80 points or 0.55 percent to finish at 1,600.37 after trading between 1,593.96 and 1,613.98. Volume was 16.664 billion shares worth 46.844 billion baht. There were 821 decliners and 629 gainers, with 510 stocks finishing unchanged.
Among the actives, Advanced Info and PTT Oil & Retail both perked 0.47 percent, while Thailand Airport gained 0.70 percent, Banpu rallied 2.78 percent, Bangkok Bank strengthened 1.65 percent, Bangkok Dusit Medical was up 0.85 percent, Bangkok Expressway rose 0.56 percent, B. Grimm plunged 2.47 percent, Charoen Pokphand Foods accelerated 2.36 percent, Gulf gathered 0.95 percent, Kasikornbank collected 0.38 percent, Krung Thai Bank added 0.61 percent, Krung Thai Card dropped 0.92 percent, PTT improved 0.79 percent, PTT Exploration and Production surged 5.98 percent, PTT Global Chemical climbed 1.09 percent, Siam Commercial Bank advanced 0.98 percent, Siam Concrete increased 0.63 percent, Thai Oil spiked 2.86 percent, True Corporation shed 0.60 percent, TTB Bank increased 0.70 percent and CP All Public, SCG Packaging, Asset World, Energy Absolute and BTS Group were unchanged.
The lead from Wall Street is incongruous as the Dow and S&P opened higher and finished the same way, while the NASDAQ opened in the red and remained there throughout the session.
The Dow surged 327.00 points or 0.98 percent to finish at 33,601.15, while the NASDAQ dropped 32.45 points or 0.27 percent to end at 12,189.45 and the S&P 500 added 15.20 points or 0.37 percent to close at 4,124.51.
The strength on Wall Street rose the back of the energy sector as crude oil prices surged, while technology stocks ebbed on fears over the outlook for interest rates.
Oil prices rose sharply on Monday, buoyed by the decision of OPEC+ oil producers to cut output by around 1.16 million barrels per day. West Texas Intermediate Crude oil futures for May ended higher by $4.75 or 6.3 percent at $80.42 a barrel.
In economic news, the Institute for Supply Management said manufacturing activity in the U.S. contracted at a slightly faster rate in March. Also, the Commerce Department unexpectedly showed a slight decrease in U.S. construction spending in February. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/energy-stocks-likely-to-fuel-thai-stock-gains
2,Seagen: FDA Grants Accelerated Approval For Padcev Combination To Treat Metastatic Urothelial Cancer,,"April 03, 2023 — 09:59 pm EDT",['Markets'],,RTTNews.com,['ALPMY'],"April 03, 2023 — 09:59 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - The U.S. Food and Drug Administration granted Padcev (enfortumab vedotin-ejfv) with Keytruda (pembrolizumab) accelerated approval in the U.S. as a combination therapy for the treatment of adult patients with locally advanced or metastatic urothelial cancer (la/mUC) who are not eligible to receive cisplatin-containing chemotherapy,  Seagen Inc. (SGEN) and Astellas Pharma Inc. said in a statement.
The company noted that the indication is approved under accelerated approval based on tumor response rate and durability of response. Continued approval for this indication is contingent upon verification and description of clinical benefit in the EV-302 confirmatory trial.
The combination therapy was granted Breakthrough Therapy designation by the FDA in February 2020 based on Dose Escalation/Cohort A data. The combination therapy was also granted Priority Review in December 2022. 
The U.S. Prescribing Information for Padcev includes a BOXED WARNING for Serious Skin Reactions as well as certain Warnings and Precautions: hyperglycemia, pneumonitis/interstitial lung disease, peripheral neuropathy, ocular disorders, infusion site extravasation, and embryo-fetal toxicity.
For More Such Health News, visit rttnews.com 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/seagen%3A-fda-grants-accelerated-approval-for-padcev-combination-to-treat-metastatic
0,L'Oreal To Acquire Aesop From Natura In $2.525 Bln Deal,,"April 03, 2023 — 10:22 pm EDT",['Markets'],,RTTNews.com,[],"April 03, 2023 — 10:22 pm EDT

      Written by
                        RTTNews.com for                             
        




RTTNews ->


(RTTNews) - Cosmetics and beauty products giant L'Oreal Co. (LRLCY.PK) said that it has signed an agreement with Brazil's Natura & Co to acquire Aesop, the Australian luxury beauty brand, at an enterprise value of $2.525 billion.
The transaction is still subject to customary regulatory approvals and is expected to close in third quarter 2023.
Created in 1987, Aesop currently operates around 400 points of sale across the Americas, Europe, Australia, New Zealand, and Asia, with a nascent footprint in China where the first store opened in 2022.
The brand posted sales of $537 million in 2022. 
The views and opinions expressed herein are the views and opinions of the author and do not necessarily reflect those of Nasdaq, Inc.

© 2023, Nasdaq, Inc. All Rights Reserved.










To add symbols:


These symbols will be available throughout the site during your session.
To add symbols:


These symbols will be available throughout the site during your session.",https://www.nasdaq.com/articles/loreal-to-acquire-aesop-from-natura-in-%242.525-bln-deal
